signature,frequency
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Syncing Alarm Details from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\Resources\Alarms.csv",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Skipping folder: D:\ASM\Logs\App (LastWrite: <NUM>-<NUM>-<NUM>)",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Skipping folder: D:\ASM\Logs\Hardware (LastWrite: <NUM>-<NUM>-<NUM>)",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - D:\ASM\Data does not exist, skipping archive.",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - No new alarm items to insert.",437
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Total opened devices: <NUM>",435
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.AlarmViewModel - Loaded <NUM> alarms and <NUM> histories successfully.",435
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  UI.Helpers.UIJsonConfigurationLoader - LogFolders not configured in D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\MachineConfig\XHDP\GlobalConfig.json, using defaults.",432
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Buffer B stopper keeping up",428
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Shuttle Stopper keeping down",428
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG UI.ViewModels.LoginViewModel - Usernames loaded: Admin, Operator, Engineer",428
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Syncing Motion Points from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\MachineConfig\XHDP\MotionPoints.csv",423
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.ControlBtnViewModel - StateManager initialized successfully.",423
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.MainViewModel - MainViewModel constructor called",423
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardCommonViewModel - DashboardCommonViewModel initialized.",419
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardCommonViewModel - Loading common details...",419
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.MainViewModel - Caption changed from '' to 'Dashboard'",419
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.MainViewModel - MainFormViewModel changed from '' to 'DashboardViewModel'",419
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.MainViewModel - MenuButtons collection changed.",419
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Starting initialization process...",416
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardCommonViewModel - Loaded common details: SiteName=FXBL, MachineName=XHDP, MachineSerial=2DBC57-<NUM>,CarrierSerial=",415
at System.Collections.Generic.Dictionary`<NUM>.get_Item(TKey key),412
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Initialization completed.",411
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.ControlBtnViewModel - StateManager LastError:",411
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Found <NUM> device(s).",408
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - SplashScreenViewModel initialized.",407
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Inspection Stopper keeping up",407
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Splash Screen Loading Started",407
System.Collections.Generic.KeyNotFoundException: The given key 'EntryTriggerDI' was not present in the dictionary.,403
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.Pipelines.XHDP - Error while reading DI (pallet sensor).",403
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.ControlBtnViewModel - StateManager IsBusy: False",399
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Progress complete, showing completion message.",397
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.IOServices.IOController - The subordinate device ID is conflicted.",385
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Common.Helpers.LocalizationService - Missing localization key 'IOKeyNotFound' for culture 'en-US'",373
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Total opened axes: <NUM>",371
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Common.Helpers.LocalizationService - Missing localization key 'IO channel configuration for 'GreenLightDO' not found.' for culture 'en-US'",368
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.MotionServices.Advantech.MotionController - MoveRel(<NUM>, dist=<NUM>) start failed. rc=<HEX>",362
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L1 Buffer B stopper keeping up",358
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - No open devices to close.",356
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveVel start failed (dir=+). rc=<HEX>",351
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Pallet state rising edge detected for ShuttlePalletPresenceSensorDI",347
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Pallet T{E02}O{<NUM>-<NUM>-<NUM>-<NUM>}P{HE00EJ6DC300}Q{<NUM>}S{D3234}G{373d25b8-b4ed-<NUM>-a6d5-0ba75c086773}L{} sent to L2ConveyorBufferA successfully.",341
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - ResetAllAxisErrors completed. Total axes processed: <NUM>",331
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MachineBackgroundService - Initialyzing the pipeline",311
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MachineBackgroundService - Machine background service started.",309
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.ControlBtnViewModel - Starting the machine background service.",308
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Services.Services.IOServices.IOController - No IO device found at index <NUM>.",307
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.ControlBtnViewModel - Start button clicked.",304
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.MachineBackgroundService - Current state: Starting",303
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Dispenser Pallet stopperout OUT",289
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Initializing LMM process...",285
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - IO channel mappings loaded successfully.",285
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Configuration parameters loaded successfully.",285
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Barcode Parameters:",285
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Connecting to Barcode",285
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Dispenser Pallet Clamp clamped",284
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - SkipBarcodeScan: False, MaxBarcodeRetries: <NUM>",272
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Connecting to IOCard",271
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Barcode scanner connected on attempt <NUM>.",271
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Connecting to MotionCard",270
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L1 Dispensing clamp keeping up",268
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Dispensing stopper keeping up",268
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L1 BInspection Stopper keeping up",268
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L1 Dispensing stopper keeping up",268
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Dispenser Pallet stopperout IN",265
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - EnableAllAxes completed. Total axes processed: <NUM>",259
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Conveyors initialized successfully.",256
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Initializing Conveyors...",256
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - LMM initialization completed successfully.",254
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MachineBackgroundService - Machine started.",252
System.InvalidOperationException: The specified Visual is not an ancestor of this Visual.,252
at System.Windows.Controls.DataGridCellsPanel.ComputeCellsPanelHorizontalOffset(),252
"at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)",252
"at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)",252
at System.Windows.Controls.DataGrid.InvalidateCellsPanelHorizontalOffset(Object args),252
"at System.Windows.Media.Visual.TrySimpleTransformToAncestor(Visual ancestor, Boolean inverse, GeneralTransform& generalTransform, Matrix& simpleTransform)",252
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Common.Helpers.LocalizationService - Missing localization key 'U' for culture 'en-US'",250
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Shuttle Worker started",250
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Common.Helpers.LocalizationService - Missing localization key 'Z' for culture 'en-US'",250
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Configuration loaded successfully for device index <NUM> from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\MachineConfig\XHDP\MotionDeviceFiles\MotionDevice0.cfg",245
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - [<NUM>] Num=<NUM>, Name=PCIE-<NUM>-10AE (M0), SubDevs=<NUM>",235
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - [<NUM>] Num=<NUM>, Name=PCIE-<NUM>-32AE (M4), SubDevs=<NUM>",231
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Buffer A stopper keeping down",226
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Services.Services.Pipelines.XHDP - Attempt <NUM>: Failed to read barcode for pallet .",206
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Pallet state rising edge detected for ShuttlePalletPresenceSensor",203
at System.Windows.Media.Visual.TransformToAncestor(Visual ancestor),202
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.Models.Hardware - [Hardware] Connection type changed to TCP/IP, state reset.",189
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - MovePathWaitAsync('InspectionGantry') completed successfully.",188
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - MovePathWaitAsync('InspectionGantry') started. handle=NULL",188
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L1 Buffer A stopper keeping down",181
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Buffer B stopper keeping down",177
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: Servo is ON.",176
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Pallet T{E02}O{<NUM>-<NUM>-<NUM>-<NUM>}P{HE00EJ6DC300}Q{<NUM>}S{D3234}G{373d25b8-b4ed-<NUM>-a6d5-0ba75c086773}L{} sent to L1ConveyorBufferA successfully.",170
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.MainViewModel - Executing ShowControlViewCommand.",167
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2DispensingStopper keeping down",164
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2DispensingStopper keeping up",163
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Inspection Lifter keeping up",159
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Inspection Stopper keeping down",156
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - SN T{E02}O{<NUM>-<NUM>-<NUM>-<NUM>}P{HE00EJ6DC300}Q{<NUM>}S{D3234}G{373d25b8-b4ed-<NUM>-a6d5-0ba75c086773}L{} read from pallet",154
