id,station_name,metric_name,mean,std_dev,min_limit,max_limit,sample_count,unit,created_at,updated_at
15,shuttle_station,shuttle_pallet_release_time,2.94375,0.037264,2.922,3.03,236,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
16,shuttle_station,shuttle_stopper_rising_time,0.08372,0.000748,0.082,0.088,236,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
17,shuttle_station,shuttle_idle_time,4.143686,2.080222,0.055,15.476,236,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
18,l2_buffer_a,buffer_holding_and_pre_stopper_down_time,16.167233,5.13889,0.0,27.633,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
19,l2_buffer_a,buffer_pallet_release_and_pre_stopper_up_time,2.826379,0.002361,2.819,2.843,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
20,l2_buffer_a,buffer_idle_time,3.007241,4.414452,0.0,20.114,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
21,l2_dispenser,dispenser_entry_unclamp_time,4.3e-05,0.000203,0.0,0.001,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
22,l2_dispenser,dispenser_delay_post_entry_unclamp,0.001017,0.000473,0.0,0.002,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
23,l2_dispenser,dispenser_pallet_lifting_1_time,0.318026,0.003344,0.315,0.338,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
24,l2_dispenser,dispenser_entry_clamping_time,0.188342,0.001044,0.185,0.192,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
25,l2_dispenser,dispenser_delay_post_clamping,0.500949,0.000344,0.5,0.502,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
26,l2_dispenser,dispenser_pallet_stopper_releasing_time,0.230462,0.001079,0.227,0.235,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
27,l2_dispenser,dispenser_delay_pre_gantry_positioning,0.201949,0.00057,0.201,0.203,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
28,l2_dispenser,dispenser_gantry_positioning_time,2.142513,0.002416,2.134,2.159,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
29,l2_dispenser,dispenser_dispensing_time,5.543658,0.002464,5.539,5.556,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
30,l2_dispenser,dispenser_pallet_unpositioning_time,2.119256,0.002233,2.114,2.131,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
31,l2_dispenser,dispenser_pallet_stopper_locking_time,0.125684,0.000847,0.124,0.13,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
32,l2_dispenser,dispenser_pre_exit_unclamping,0.20094,0.000496,0.199,0.202,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
33,l2_dispenser,dispenser_exit_unclamping,0.146496,0.000805,0.144,0.15,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
34,l2_dispenser,dispenser_post_exit_unclamp,0.00106,0.000513,0.0,0.002,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
35,l2_dispenser,dispenser_pallet_lowering_1,0.403487,0.00133,0.402,0.414,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
36,l2_dispenser,dispenser_stopper_lowering,0.188342,0.001138,0.185,0.192,117,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
37,l2_dispenser,dispenser_pallet_releasing,2.825397,0.001456,2.821,2.83,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
38,l2_dispenser,dispenser_stopper_rasing,0.209405,0.000951,0.207,0.214,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
39,l2_dispenser,machine_idle_time,6.629422,1.675355,3.349,17.251,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
40,l1_buffer_a,buffer_holding_time,17.787386,2.125178,1.917,18.817,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
41,l1_buffer_a,buffer_stopper_lowering_time,0.104895,0.001907,0.103,0.123,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
42,l1_buffer_a,buffer_pallet_release_time,2.716868,0.001752,2.709,2.724,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
43,l1_buffer_a,buffer_stopper_rising_time,0.08386,0.000797,0.082,0.088,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
44,l1_buffer_a,buffer_idle_time,1.550737,3.17404,0.188,22.503,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
45,l1_dispenser,dispenser_entry_unclamp_time,4.7e-05,0.000212,0.0,0.001,235,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
46,l1_dispenser,dispenser_delay_post_entry_unclamp,1.001862,0.000617,1.0,1.003,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
47,l1_dispenser,dispenser_pallet_lifting_1_time,0.313207,0.063693,0.261,0.405,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
48,l1_dispenser,dispenser_entry_clamping_time,0.482543,0.022076,0.438,0.627,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
49,l1_dispenser,dispenser_delay_post_clamping,0.200862,0.000474,0.2,0.202,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
50,l1_dispenser,dispenser_pallet_stopper_releasing_time,0.1255,0.001972,0.106,0.127,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
51,l1_dispenser,dispenser_delay_pre_gantry_positioning,0.001078,0.000513,0.0,0.002,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
52,l1_dispenser,dispenser_gantry_positioning_time,2.445302,0.002227,2.439,2.461,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
53,l1_dispenser,dispenser_dispensing_time,5.543957,0.001904,5.539,5.55,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
54,l1_dispenser,dispenser_pallet_unpositioning_time,2.320647,0.002115,2.313,2.326,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
55,l1_dispenser,dispenser_pallet_stopper_locking_time,0.1255,0.000928,0.123,0.13,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
56,l1_dispenser,dispenser_pre_exit_unclamping,0.200879,0.000399,0.2,0.202,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
57,l1_dispenser,dispenser_exit_unclamping,0.095685,0.096434,0.0,0.21,235,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
58,l1_dispenser,dispenser_post_exit_unclamp,0.000948,0.000491,0.0,0.002,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
59,l1_dispenser,dispenser_pallet_lowering_1,0.403259,0.000724,0.401,0.405,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
60,l1_dispenser,dispenser_stopper_lowering,0.35531,0.003712,0.334,0.366,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
61,l1_dispenser,dispenser_pallet_releasing,3.125096,0.00196,3.117,3.131,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
62,l1_dispenser,dispenser_stopper_rasing,0.207835,0.004819,0.188,0.21,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
63,l1_dispenser,machine_idle_time,4.957635,0.027467,4.908,5.009,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
64,l2_inspection,inspection_lifter_rising_time,0.492198,0.244851,0.0,1.122,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
65,l2_inspection,inspection_gantry_positioning_time,7.197164,0.015474,7.171,7.247,116,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
66,l2_inspection,inspection_core_vision_system_time,3.423417,0.001578,3.419,3.427,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
67,l2_inspection,inspection_post_vision_check_delay,6.1e-05,0.00024,0.0,0.001,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
68,l2_inspection,inspection_lifter_lowering_time,0.504661,0.000674,0.503,0.508,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
69,l2_inspection,inspection_pallet_releasing_time,6.708357,0.215421,6.211,7.121,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
70,l2_inspection,inspection_idle_time,3.672591,0.03035,3.624,3.726,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
71,l1_buffer_b,buffer_holding_and_pre_stopper_down_time,2.676623,1.080168,0.0,4.089,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
72,l1_buffer_b,buffer_pallet_release_and_pre_stopper_up_time,2.724632,0.001892,2.718,2.737,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
73,l1_buffer_b,buffer_idle_time,16.773106,2.278054,15.157,38.029,113,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
74,l1_inspection,inspection_lifter_rising_time,9e-06,9.3e-05,0.0,0.001,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
75,l1_inspection,inspection_gantry_positioning_time,4.396878,0.011974,4.375,4.44,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
76,l1_inspection,inspection_core_vision_system_time,3.402452,0.225921,1.001,3.449,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
77,l1_inspection,inspection_post_vision_check_delay,2.6e-05,0.00016,0.0,0.001,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
78,l1_inspection,inspection_lifter_lowering_time,0.807461,0.000787,0.805,0.81,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
79,l1_inspection,inspection_pallet_releasing_time,6.901139,0.23491,6.313,7.126,115,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
80,l1_inspection,inspection_idle_time,6.493035,0.353933,6.133,9.185,114,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
81,l2_buffer_b,buffer_holding_and_pre_stopper_down_time,14.433885,1.559868,9.58,19.625,113,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
82,l2_buffer_b,buffer_pallet_release_and_pre_stopper_up_time,2.623274,0.001525,2.619,2.629,113,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
83,l2_buffer_b,buffer_idle_time,5.128929,2.10188,0.0,21.1,113,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
